Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,imagenPortadaEjercicio,Musculos,Ejercicio ID,Link Webhook,Reps_Unicas,Carga unica
Flexiones Neutras,Semilla,Barras Paralelas bajas,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",3 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Eux7oj7ouXDOO1uahww8.png,"Pecho, Tríceps, Deltoides frontal.",EJ011,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Neutras&prevReps=&prevKgs=,,
Flexiones Neutras (en paralelas),Semilla,Barras Paralelas bajas,"Manos en las barras, cuerpo recto como tabla. Baja el pecho hasta el nivel de las barras.","Mantén los codos hacia atrás (forma de flecha), no hacia afuera (forma de T).",3 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Y0IBpqNEqOyZbVoWzUhp.png,"Pecho, Tríceps, Deltoides frontal.",EJ012,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones Neutras (en paralelas)&prevReps=&prevKgs=,,
Flexiones en Paralelas (rango completo),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Baja el pecho por debajo del nivel de las barras aprovechando el rango extra que dan las paralelas. Sube con fuerza.,Baja lento (3 segundos) y sube explosivo. El rango extra activa más fibras del pecho.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/CzWvDYSnl6CMl9ligkzl.png,"Pectorales, Tríceps, Deltoides",EJ013,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones en Paralelas (rango completo)&prevReps=&prevKgs=,,
Flexiones en Pared,Semilla ,Muro,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.","Cuanto más alejes los pies de la pared, más difícil será.",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/F5wJNBiMSNETKr6WYUSs.jpeg,"Pectorales, Tríceps, Deltoides",EJ014,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones en Pared&prevReps=10-10-10-10&prevKgs=0-0-0-0,10-10-10-10,0-0-0-0
Flexiones en Rodillas,Semilla,N/A,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,3 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/K2872oaOO7XazcHxsZLs.jpeg,"Pectorales, Tríceps, Deltoides",EJ015,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Flexiones en Rodillas&prevReps=10-10-10-10&prevKgs=0-0-0-0,10-10-10-10,0-0-0-0
Fondos Asistidos (pies en suelo),Semilla,Barras Paralelas bajas,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,3 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8tBBjFjplRMgQsCckRah.png,"Tríceps, Pecho inferior, Deltoides",EJ016,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos Asistidos (pies en suelo)&prevReps=&prevKgs=,,
Fondos Profundos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con brazos extendidos. Baja el cuerpo doblando los codos hasta que los hombros queden por debajo de los codos. Empuja para subir.,Inclina el torso ligeramente al frente para más activación de pecho. Si sientes dolor en el hombro no bajes tanto.,4 series de 6-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/sOBNnpgqQohwpEHX7PHF.png,"Pecho, Tríceps, Deltoides frontal",EJ017,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos Profundos en Paralelas&prevReps=&prevKgs=,,
Fondos de Tríceps,Semilla,Paralelas Bajas,"Pies estirados al frente, manos en barras. Baja la cadera doblando codos y sube.",No bajes demasiado si sientes tensión en el frente del hombro. El control es clave.,3 series de 10 reps,,"Tríceps, Pecho inferior.",EJ018,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos de Tríceps&prevReps=&prevKgs=,,
Fondos de Tríceps (en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos. Pies estirados al frente apoyados en el suelo. Baja la cadera doblando los codos hacia atrás y empuja para subir.,No bajes demasiado si sientes tensión en el hombro frontal. Mantén los codos apuntando hacia atrás.,3 series de 10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YADHqfElkl05jbLhivcD.png,"Tríceps, Pecho inferior",EJ019,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos de Tríceps (en paralelas)&prevReps=&prevKgs=,,
Fondos en Paralelas,Pino,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos y las piernas estiradas al frente o cruzadas. Baja doblando los codos hasta 90 grados y empuja para subir.,Mantén los codos apuntando hacia atrás. Controla la bajada sin dejarte caer.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YdtF0VuTXB8eu2E2mQyL.png,"Tríceps, Pecho inferior, Deltoides",EJ020,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos en Paralelas&prevReps=&prevKgs=,,
Hip Thrust a Una Pierna (en silla),Pino,Silla,Siéntate en el suelo con la espalda alta apoyada en una silla. Un pie en el suelo y la otra pierna extendida. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. Baja con control sin tocar el suelo.,4 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/xX5cKl4rDiCe42Uo4bIB.jpeg,"Glúteos, Isquiotibiales, Core",EJ021,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Hip Thrust a Una Pierna (en silla)&prevReps=&prevKgs=,,
L-Sit (piernas extendidas),Pino,Barras Paralelas bajas,Siéntate entre las barras con manos en las barras y brazos rectos. Levanta la cadera y extiende las piernas completamente al frente formando una L.,Empuja las barras hacia abajo con fuerza. Activa los cuádriceps para mantener las piernas rectas y arriba.,4 series de 10-20 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/PKhfmb2J6gAIoWhEh43P.jpeg,"Abdominales, Flexores de cadera, Tríceps",EJ022,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=L-Sit (piernas extendidas)&prevReps=&prevKgs=,,
L-Sit Asistido,Semilla,Paralelas Bajas,"Siéntate entre las barras, brazos estirados, talones apoyados adelante. Eleva la cadera.","Bloquea los codos por completo. Si tus hombros suben a las orejas, estás fallando",3 series de 15-20 seg,,"Abdominales, Tríceps, Flexores de cadera.",EJ023,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=L-Sit Asistido&prevReps=&prevKgs=,,
L-Sit Asistido (rodillas flexionadas),Semilla,Barras Paralelas bajas,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,3 series de 15-20 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/FxsT9OQ3sWmqJssCM432.png,"Abdominales, Tríceps, Flexores de cadera",EJ024,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=L-Sit Asistido (rodillas flexionadas)&prevReps=&prevKgs=,,
Peso Muerto Rumano a Una Pierna,Pino,N/A,De pie sobre una pierna con rodilla ligeramente flexionada. Inclina el torso hacia adelante con la espalda recta mientras la pierna libre se extiende atrás. Regresa apretando glúteo e isquiotibial.,Siente el estiramiento en el isquiotibial de la pierna de apoyo. No redondees la espalda.,4 series de 8-10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/7reIJWUHEdM0r87LhcTa.png,"Isquiotibiales, Glúteos, Core",EJ025,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto Rumano a Una Pierna&prevReps=&prevKgs=,,
Peso Muerto a Una Pierna (sin peso),Semilla,N/A,De pie sobre una pierna. Inclina el torso hacia adelante mientras la pierna libre se extiende hacia atrás. Baja hasta que el torso quede paralelo al suelo y sube con control.,Mantén la espalda recta en todo momento. Mira un punto fijo en el suelo para mejor equilibrio.,3 series de 8 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/4xwI9ekqJoe8uz8hE0R2.png,"Isquiotibiales, Glúteos, Core",EJ026,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto a Una Pierna (sin peso)&prevReps=&prevKgs=,,
Pike Push-ups (en paralelas),Pino,Barras Paralelas bajas,Manos en las barras en posición de plancha. Sube la cadera formando una V invertida. Baja la cabeza entre las barras doblando los codos y empuja para subir.,Cuanto más cerca estén los pies de las manos más difícil será. Mira hacia las barras al bajar.,4 series de 6-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/kGxbB6rLYKxvKOdZ2YyU.png,"Deltoides, Tríceps, Trapecio",EJ027,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pike Push-ups (en paralelas)&prevReps=&prevKgs=,,
Escapula Push-ups Elevados,Pino,Barras Paralelas bajas + silla,Manos en las barras y pies elevados sobre una silla. Sube la cadera formando una V invertida pronunciada. Baja la cabeza entre las barras y empuja.,La elevación de pies aumenta la carga en los hombros. Excelente preparación para handstand push-ups.,4 series de 5-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/JNXjtsUPCP4yrwLHzwLa.jpeg,"Deltoides, Tríceps, Trapecio superior",EJ028,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Escapula Push-ups Elevados&prevReps=&prevKgs=,,
Pistol Squat Asistida (con liga),Pino,Barra para Ligas + Banda,Sujeta una liga atada a la barra a la altura del pecho. Extiende una pierna al frente y baja con la otra haciendo sentadilla completa. Usa la liga para asistir la subida.,La liga ayuda en la parte más difícil (abajo). Conforme ganes fuerza usa ligas más delgadas.,4 series de 4-6 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/2ZLAan00RNOMmBvpbTbt.jpeg,"Cuádriceps, Glúteos, Core",EJ029,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pistol Squat Asistida (con liga)&prevReps=&prevKgs=,,
Plancha,Semilla,Paralelas Bajas,Sujeta las barras y mantén el cuerpo alineado. Aprieta glúteos y abdomen.,No dejes que la zona lumbar se cuelgue. Mete la pelvis ligeramente (retroversión).,3 series de 30-45 seg,,"Core (todo el abdomen), Hombros.",EJ030,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Plancha&prevReps=&prevKgs=,,
Plancha Inclinada,Pino,"Barra baja, borde silla o cama",Apoya las manos en la barra baja en posición de flexión. Mantén el cuerpo en línea recta y aprieta el abdomen con fuerza sin dejar que la cadera caiga.,Imagina que quieres llevar el ombligo hacia tu columna para activar bien el core.,3 series de 30-45 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/6TLwRLUNNWAjyPVuW1Rm.jpeg,Abdomen (Core) y Hombros,EJ031,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Plancha Inclinada&prevReps=&prevKgs=,,
Plancha Inclinada (manos en paralelas),Semilla,Barras Paralelas bajas,Sujeta las barras con las manos y extiende el cuerpo en posición de plancha. Mantén el abdomen apretado y el cuerpo en línea recta desde la cabeza hasta los talones.,Empuja las barras con fuerza activando el serrato. No dejes que la cadera caiga ni se suba.,3 series de 30-45 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/CtixALLVncuyeYYuE1oy.jpeg,"Core (Abdomen), Hombros, Serrato",EJ032,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Plancha Inclinada (manos en paralelas)&prevReps=&prevKgs=,,
Plancha en Rodillas,Semilla,N/A,Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,3 series de 20-30 seg,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ZMdlg59OaZbDJmoLkNpz.jpeg,"Core (Abdomen), Hombros",EJ033,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Plancha en Rodillas&prevReps=1-1-1-1&prevKgs=0-0-0-0,1-1-1-1,0-0-0-0
Press de Hombro con Liga,Semilla,Barra para Ligas + Banda,Pisa la liga con ambos pies (o sentado sobre la liga) a la anchura de los hombros. Sujeta los extremos a la altura de los hombros con las palmas al frente. Empuja hacia arriba extendiendo los brazos y baja con control.,No arquees la espalda al empujar. Aprieta el abdomen para proteger la zona lumbar.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/wrY6X6VhHoQh1kAyqq7N.jpeg,"Deltoides, Tríceps",EJ034,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Hombro con Liga&prevReps=&prevKgs=,,
Press de Hombro con Liga (de pie),Pino,Barra para Ligas + Banda,De pie (o sentado sobre la liga)pisando la liga. Sujeta los extremos a la altura de los hombros. Empuja hacia arriba extendiendo completamente los brazos y baja con control hasta los hombros.,Aprieta el abdomen para no arquear la espalda. Extiende completamente los brazos arriba.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Y7RadRzeWB60PN11YcWk.jpeg,"Deltoides, Tríceps, Trapecio",EJ035,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Hombro con Liga (de pie)&prevReps=&prevKgs=,,
Puente de Glúteo,Semilla,N/A,Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/dGJJWjOJyZutlBgDGgmt.jpeg,"Glúteos, Isquiotibiales",EJ036,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Puente de Glúteo&prevReps=15-15-15&prevKgs=0-0-0,15-15-15,0-0-0
Puente de Glúteo Elevado (pies en silla),Pino,Silla,Acuéstate boca arriba con los pies apoyados sobre una silla. Empuja la cadera hacia arriba apretando los glúteos con fuerza. Baja con control.,La elevación de pies aumenta el rango de movimiento y la dificultad. Aprieta 2 segundos arriba.,4 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/4I8vJSuIpy4tKToEMrY4.png,"Glúteos, Isquiotibiales",EJ037,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Puente de Glúteo Elevado (pies en silla)&prevReps=&prevKgs=,,
Puente de Glúteo a Una Pierna,Semilla,N/A,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,3 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/nniX3Nv1a5h39LjKiHBI.jpeg,"Glúteos, Isquiotibiales, Core",EJ038,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Puente de Glúteo a Una Pierna&prevReps=&prevKgs=,,
Remo Sentado con Liga,Pino,Liga,Siéntate en el suelo piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos. Tira hacia tu ombligo llevando los codos atrás y apretando la espalda.,Mantén la espalda erguida y saca pecho. No permitas que la liga te encorve al regresar.,4 series de 8-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/dZE249AJTdnqV5fNWCRt.jpeg,Espalda (Dorsales) y Brazos (Bíceps),EJ039,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo Sentado con Liga&prevReps=&prevKgs=,,
Remo con Liga (agarre amplio),Pino,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con agarre amplio y palmas hacia abajo. Tira hacia el pecho abriendo los codos.,Aprieta los omóplatos al final. El agarre amplio enfatiza más la espalda alta y el deltoides posterior.,4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/s3L5RZ18walvu1bal7Ot.jpeg,"Trapecio, Deltoides posterior, Romboides",EJ040,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Liga (agarre amplio)&prevReps=&prevKgs=,,
Remo con Liga (agarre cerrado),Pino,Liga,"Siéntate con las piernas extendidas al  frente , pasa la liga por la plata de tus pies  y sujeta ambos extremos de la liga juntos con las dos manos. Tira hacia el ombligo con los codos muy pegados al cuerpo.",Aprieta fuerte la espalda al final del movimiento. El agarre cerrado enfatiza más los dorsales y bíceps.,4 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/edPJJ5EdoYt0NM97uaWO.jpeg,"Dorsales, Bíceps, Romboides",EJ041,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Liga (agarre cerrado)&prevReps=&prevKgs=,,
Remo con Liga (agarre neutro),Semilla,Liga,"Sentado con las piernas extendida al frente, pasa la liga por la planta de tus pies y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.",Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/IsgQQ42tNtoJ2nfgsTtj.jpeg,"Espalda (Dorsales), Bíceps, Romboides",EJ042,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Liga (agarre neutro)&prevReps=8-10-10-10&prevKgs=5-5-5-5,8-10-10-10,5-5-5-5
Remo con Liga (agarre prono),Semilla,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia abajo. Tira hacia tu ombligo apretando bíceps y espalda.,Aprieta los omóplatos al final del movimiento. Controla la fase de regreso sin dejarte jalar.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/e9tSkH2dkdamK7K2z8Jm.png,"Trapecio, Deltoides posterior, Romboides",EJ043,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Liga (agarre prono)&prevReps=&prevKgs=,,
Remo con Liga (agarre supino),Semilla,Liga,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,3 series de 10-12 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/I4XmTG9gbpImKZcCOHJs.jpeg,"Bíceps, Espalda (Dorsales)",EJ044,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Liga (agarre supino)&prevReps=&prevKgs=,,
