exercise_id,slug,nombre interno,nombre público actual,nombre público recomendado,estado,Sistema al que pertenece,Ruta o Rutas,Madera o punto de partida,modalidad,patrón de movimiento,objetivo,grupo muscular,equipo,espacio requerido,posición inicial,ejecución paso a paso,indicaciones técnicas,respiración,errores comunes,regresiones,progresiones,repeticiones,series,tiempo,descanso,tempo,duración estimada,criterios de finalización,advertencias,contraindicaciones,activo visual asociado,video asociado,miniatura asociada,pantalla donde aparece,componente donde aparece,archivo fuente,datos faltantes,contradicciones,estado visual
EJ014,flexiones-en-pared,Flexiones en Pared,Flexiones en Pared,Flexiones en Pared,pendiente,,,,,,,"Pectorales, Tríceps, Deltoides",Muro,,,"De pie frente a una pared, apoya las manos a la altura de los hombros. Inclina el cuerpo, baja el pecho y empuja.","Cuanto más alejes los pies de la pared, más difícil será.",,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/F5wJNBiMSNETKr6WYUSs.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ015,flexiones-en-rodillas,Flexiones en Rodillas,Flexiones en Rodillas,Flexiones en Rodillas,pendiente,,,,,,,"Pectorales, Tríceps, Deltoides",N/A,,,Apoya las manos a la anchura de los hombros y las rodillas en el piso. Baja el pecho hasta casi tocar el suelo manteniendo el cuerpo alineado desde rodillas hasta cabeza. Empuja para subir.,Mantén los codos en forma de flecha hacia atrás y no hacia afuera. Aprieta el abdomen en todo momento.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/K2872oaOO7XazcHxsZLs.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ016,fondos-asistidos-(pies-en-suelo),Fondos Asistidos (pies en suelo),Fondos Asistidos (pies en suelo),Fondos Asistidos (pies en suelo),pendiente,,,,,,,"Tríceps, Pecho inferior, Deltoides",Barras Paralelas bajas,,,Sujeta las barras y mantén los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados y sube empujando con fuerza.,Usa los pies solo como apoyo. Intenta cargar cada vez más peso en los brazos conforme ganes fuerza.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8tBBjFjplRMgQsCckRah.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ017,fondos-profundos-en-paralelas,Fondos Profundos en Paralelas,Fondos Profundos en Paralelas,Fondos Profundos en Paralelas,pendiente,,,,,,,"Pecho, Tríceps, Deltoides frontal",Barras Paralelas bajas,,,Sujeta las barras con brazos extendidos. Baja el cuerpo doblando los codos hasta que los hombros queden por debajo de los codos. Empuja para subir.,Inclina el torso ligeramente al frente para más activación de pecho. Si sientes dolor en el hombro no bajes tanto.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/sOBNnpgqQohwpEHX7PHF.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ002,dominadas-australianas-(en-barra-baja),Dominadas Australianas (en barra baja),Dominadas Australianas (en barra baja),Dominadas Australianas (en barra baja),pendiente,,,,,,,"Espalda (Dorsales), Bíceps, Romboides",Barra baja o barra de dominadas baja,,,Acuéstate debajo de la barra y sujétala con agarre prono. Cuerpo recto como tabla con los talones en el suelo. Tira del pecho hacia la barra y baja con control.,Aprieta los omóplatos al subir. Cuanto más horizontal esté tu cuerpo más difícil será.,,,,,,,,,,,,,,https://rhxseahupujjqhcrthpf.supabase.co/storage/v1/object/public/imagenes/ejercicios/EJ002_1785106631903.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ018,fondos-de-tríceps,Fondos de Tríceps,Fondos de Tríceps,Fondos de Tríceps,pendiente,,,,,,,"Tríceps, Pecho inferior.",Paralelas Bajas,,,"Pies estirados al frente, manos en barras. Baja la cadera doblando codos y sube.",No bajes demasiado si sientes tensión en el frente del hombro. El control es clave.,,,,,,,,,,,,,,,,,,,Supabase: ejercicios_biblioteca,,,
EJ019,fondos-de-tríceps-(en-paralelas),Fondos de Tríceps (en paralelas),Fondos de Tríceps (en paralelas),Fondos de Tríceps (en paralelas),pendiente,,,,,,,"Tríceps, Pecho inferior",Barras Paralelas bajas,,,Sujeta las barras con los brazos extendidos. Pies estirados al frente apoyados en el suelo. Baja la cadera doblando los codos hacia atrás y empuja para subir.,No bajes demasiado si sientes tensión en el hombro frontal. Mantén los codos apuntando hacia atrás.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YADHqfElkl05jbLhivcD.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ020,fondos-en-paralelas,Fondos en Paralelas,Fondos en Paralelas,Fondos en Paralelas,pendiente,,,,,,,"Tríceps, Pecho inferior, Deltoides",Barras Paralelas bajas,,,Sujeta las barras con los brazos extendidos y las piernas estiradas al frente o cruzadas. Baja doblando los codos hasta 90 grados y empuja para subir.,Mantén los codos apuntando hacia atrás. Controla la bajada sin dejarte caer.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/YdtF0VuTXB8eu2E2mQyL.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ021,hip-thrust-a-una-pierna-(en-silla),Hip Thrust a Una Pierna (en silla),Hip Thrust a Una Pierna (en silla),Hip Thrust a Una Pierna (en silla),pendiente,,,,,,,"Glúteos, Isquiotibiales, Core",Silla,,,Siéntate en el suelo con la espalda alta apoyada en una silla. Un pie en el suelo y la otra pierna extendida. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. Baja con control sin tocar el suelo.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/xX5cKl4rDiCe42Uo4bIB.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ022,l-sit-(piernas-extendidas),L-Sit (piernas extendidas),L-Sit (piernas extendidas),L-Sit (piernas extendidas),pendiente,,,,,,,"Abdominales, Flexores de cadera, Tríceps",Barras Paralelas bajas,,,Siéntate entre las barras con manos en las barras y brazos rectos. Levanta la cadera y extiende las piernas completamente al frente formando una L.,Empuja las barras hacia abajo con fuerza. Activa los cuádriceps para mantener las piernas rectas y arriba.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/PKhfmb2J6gAIoWhEh43P.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ023,l-sit-asistido,L-Sit Asistido,L-Sit Asistido,L-Sit Asistido,pendiente,,,,,,,"Abdominales, Tríceps, Flexores de cadera.",Paralelas Bajas,,,"Siéntate entre las barras, brazos estirados, talones apoyados adelante. Eleva la cadera.","Bloquea los codos por completo. Si tus hombros suben a las orejas, estás fallando",,,,,,,,,,,,,,,,,,,Supabase: ejercicios_biblioteca,,,
EJ024,l-sit-asistido-(rodillas-flexionadas),L-Sit Asistido (rodillas flexionadas),L-Sit Asistido (rodillas flexionadas),L-Sit Asistido (rodillas flexionadas),pendiente,,,,,,,"Abdominales, Tríceps, Flexores de cadera",Barras Paralelas bajas,,,Siéntate entre las barras con las manos en las barras y los brazos rectos. Levanta la cadera del suelo con las rodillas flexionadas hacia el pecho.,Bloquea los codos y empuja las barras hacia abajo con fuerza. Mantén los hombros lejos de las orejas.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/FxsT9OQ3sWmqJssCM432.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ025,peso-muerto-rumano-a-una-pierna,Peso Muerto Rumano a Una Pierna,Peso Muerto Rumano a Una Pierna,Peso Muerto Rumano a Una Pierna,pendiente,,,,,,,"Isquiotibiales, Glúteos, Core",N/A,,,De pie sobre una pierna con rodilla ligeramente flexionada. Inclina el torso hacia adelante con la espalda recta mientras la pierna libre se extiende atrás. Regresa apretando glúteo e isquiotibial.,Siente el estiramiento en el isquiotibial de la pierna de apoyo. No redondees la espalda.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/7reIJWUHEdM0r87LhcTa.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ026,peso-muerto-a-una-pierna-(sin-peso),Peso Muerto a Una Pierna (sin peso),Peso Muerto a Una Pierna (sin peso),Peso Muerto a Una Pierna (sin peso),pendiente,,,,,,,"Isquiotibiales, Glúteos, Core",N/A,,,De pie sobre una pierna. Inclina el torso hacia adelante mientras la pierna libre se extiende hacia atrás. Baja hasta que el torso quede paralelo al suelo y sube con control.,Mantén la espalda recta en todo momento. Mira un punto fijo en el suelo para mejor equilibrio.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/4xwI9ekqJoe8uz8hE0R2.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ027,pike-push-ups-(en-paralelas),Pike Push-ups (en paralelas),Pike Push-ups (en paralelas),Pike Push-ups (en paralelas),pendiente,,,,,,,"Deltoides, Tríceps, Trapecio",Barras Paralelas bajas,,,Manos en las barras en posición de plancha. Sube la cadera formando una V invertida. Baja la cabeza entre las barras doblando los codos y empuja para subir.,Cuanto más cerca estén los pies de las manos más difícil será. Mira hacia las barras al bajar.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/kGxbB6rLYKxvKOdZ2YyU.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ029,pistol-squat-asistida-(con-liga),Pistol Squat Asistida (con liga),Pistol Squat Asistida (con liga),Pistol Squat Asistida (con liga),pendiente,,,,,,,"Cuádriceps, Glúteos, Core",Barra para Ligas + Banda,,,Sujeta una liga atada a la barra a la altura del pecho. Extiende una pierna al frente y baja con la otra haciendo sentadilla completa. Usa la liga para asistir la subida.,La liga ayuda en la parte más difícil (abajo). Conforme ganes fuerza usa ligas más delgadas.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/2ZLAan00RNOMmBvpbTbt.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ030,plancha,Plancha,Plancha,Plancha,pendiente,,,,,,,"Core (todo el abdomen), Hombros.",Paralelas Bajas,,,Sujeta las barras y mantén el cuerpo alineado. Aprieta glúteos y abdomen.,No dejes que la zona lumbar se cuelgue. Mete la pelvis ligeramente (retroversión).,,,,,,,,,,,,,,,,,,,Supabase: ejercicios_biblioteca,,,
EJ031,plancha-inclinada,Plancha Inclinada,Plancha Inclinada,Plancha Inclinada,pendiente,,,,,,,Abdomen (Core) y Hombros,"Barra baja, borde silla o cama",,,Apoya las manos en la barra baja en posición de flexión. Mantén el cuerpo en línea recta y aprieta el abdomen con fuerza sin dejar que la cadera caiga.,Imagina que quieres llevar el ombligo hacia tu columna para activar bien el core.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/6TLwRLUNNWAjyPVuW1Rm.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ032,plancha-inclinada-(manos-en-paralelas),Plancha Inclinada (manos en paralelas),Plancha Inclinada (manos en paralelas),Plancha Inclinada (manos en paralelas),pendiente,,,,,,,"Core (Abdomen), Hombros, Serrato",Barras Paralelas bajas,,,Sujeta las barras con las manos y extiende el cuerpo en posición de plancha. Mantén el abdomen apretado y el cuerpo en línea recta desde la cabeza hasta los talones.,Empuja las barras con fuerza activando el serrato. No dejes que la cadera caiga ni se suba.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/CtixALLVncuyeYYuE1oy.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ033,plancha-en-rodillas,Plancha en Rodillas,Plancha en Rodillas,Plancha en Rodillas,pendiente,,,,,,,"Core (Abdomen), Hombros",N/A,,,Apoya las manos en el suelo a la anchura de los hombros y las rodillas en el piso. Mantén el cuerpo en línea recta desde la cabeza hasta las rodillas apretando abdomen y glúteos.,No dejes que la cadera se hunda ni se suba. Imagina que tu cuerpo es una tabla desde las rodillas hasta la cabeza.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/ZMdlg59OaZbDJmoLkNpz.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ034,press-de-hombro-con-liga,Press de Hombro con Liga,Press de Hombro con Liga,Press de Hombro con Liga,pendiente,,,,,,,"Deltoides, Tríceps",Barra para Ligas + Banda,,,Pisa la liga con ambos pies (o sentado sobre la liga) a la anchura de los hombros. Sujeta los extremos a la altura de los hombros con las palmas al frente. Empuja hacia arriba extendiendo los brazos y baja con control.,No arquees la espalda al empujar. Aprieta el abdomen para proteger la zona lumbar.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/wrY6X6VhHoQh1kAyqq7N.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ035,press-de-hombro-con-liga-(de-pie),Press de Hombro con Liga (de pie),Press de Hombro con Liga (de pie),Press de Hombro con Liga (de pie),pendiente,,,,,,,"Deltoides, Tríceps, Trapecio",Barra para Ligas + Banda,,,De pie (o sentado sobre la liga)pisando la liga. Sujeta los extremos a la altura de los hombros. Empuja hacia arriba extendiendo completamente los brazos y baja con control hasta los hombros.,Aprieta el abdomen para no arquear la espalda. Extiende completamente los brazos arriba.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Y7RadRzeWB60PN11YcWk.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ036,puente-de-glúteo,Puente de Glúteo,Puente de Glúteo,Puente de Glúteo,pendiente,,,,,,,"Glúteos, Isquiotibiales",N/A,,,Acuéstate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Empuja la cadera hacia arriba apretando los glúteos con fuerza y baja con control.,Aprieta los glúteos arriba durante 2 segundos antes de bajar. No arquees la espalda baja.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/dGJJWjOJyZutlBgDGgmt.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ037,puente-de-glúteo-elevado-(pies-en-silla),Puente de Glúteo Elevado (pies en silla),Puente de Glúteo Elevado (pies en silla),Puente de Glúteo Elevado (pies en silla),pendiente,,,,,,,"Glúteos, Isquiotibiales",Silla,,,Acuéstate boca arriba con los pies apoyados sobre una silla. Empuja la cadera hacia arriba apretando los glúteos con fuerza. Baja con control.,La elevación de pies aumenta el rango de movimiento y la dificultad. Aprieta 2 segundos arriba.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/4I8vJSuIpy4tKToEMrY4.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ038,puente-de-glúteo-a-una-pierna,Puente de Glúteo a Una Pierna,Puente de Glúteo a Una Pierna,Puente de Glúteo a Una Pierna,pendiente,,,,,,,"Glúteos, Isquiotibiales, Core",N/A,,,Acuéstate boca arriba con una rodilla flexionada y el pie en el suelo. Extiende la otra pierna hacia arriba. Empuja la cadera hacia arriba con la pierna apoyada.,Aprieta el glúteo arriba y mantén la cadera nivelada. No dejes que la cadera se incline hacia un lado.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/nniX3Nv1a5h39LjKiHBI.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ039,remo-sentado-con-liga,Remo Sentado con Liga,Remo Sentado con Liga,Remo Sentado con Liga,pendiente,,,,,,,Espalda (Dorsales) y Brazos (Bíceps),Liga,,,Siéntate en el suelo piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos. Tira hacia tu ombligo llevando los codos atrás y apretando la espalda.,Mantén la espalda erguida y saca pecho. No permitas que la liga te encorve al regresar.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/dZE249AJTdnqV5fNWCRt.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ040,remo-con-liga-(agarre-amplio),Remo con Liga (agarre amplio),Remo con Liga (agarre amplio),Remo con Liga (agarre amplio),pendiente,,,,,,,"Trapecio, Deltoides posterior, Romboides",Liga,,,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con agarre amplio y palmas hacia abajo. Tira hacia el pecho abriendo los codos.,Aprieta los omóplatos al final. El agarre amplio enfatiza más la espalda alta y el deltoides posterior.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/s3L5RZ18walvu1bal7Ot.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ041,remo-con-liga-(agarre-cerrado),Remo con Liga (agarre cerrado),Remo con Liga (agarre cerrado),Remo con Liga (agarre cerrado),pendiente,,,,,,,"Dorsales, Bíceps, Romboides",Liga,,,"Siéntate con las piernas extendidas al  frente , pasa la liga por la plata de tus pies  y sujeta ambos extremos de la liga juntos con las dos manos. Tira hacia el ombligo con los codos muy pegados al cuerpo.",Aprieta fuerte la espalda al final del movimiento. El agarre cerrado enfatiza más los dorsales y bíceps.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/edPJJ5EdoYt0NM97uaWO.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ042,remo-con-liga-(agarre-neutro),Remo con Liga (agarre neutro),Remo con Liga (agarre neutro),Remo con Liga (agarre neutro),pendiente,,,,,,,"Espalda (Dorsales), Bíceps, Romboides",Liga,,,"Sentado con las piernas extendida al frente, pasa la liga por la planta de tus pies y sujeta los extremos con las palmas viéndose entre sí. Tira hacia tu ombligo llevando los codos pegados al cuerpo y apretando la espalda.",Saca pecho al tirar y controla el regreso. No dejes que la liga te jale de golpe.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/IsgQQ42tNtoJ2nfgsTtj.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ043,remo-con-liga-(agarre-prono),Remo con Liga (agarre prono),Remo con Liga (agarre prono),Remo con Liga (agarre prono),pendiente,,,,,,,"Trapecio, Deltoides posterior, Romboides",Liga,,,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia abajo. Tira hacia tu ombligo apretando bíceps y espalda.,Aprieta los omóplatos al final del movimiento. Controla la fase de regreso sin dejarte jalar.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/e9tSkH2dkdamK7K2z8Jm.png,,,,,Supabase: ejercicios_biblioteca,,,
EJ044,remo-con-liga-(agarre-supino),Remo con Liga (agarre supino),Remo con Liga (agarre supino),Remo con Liga (agarre supino),pendiente,,,,,,,"Bíceps, Espalda (Dorsales)",Liga,,,Siéntate con las piernas extendidas al frente. Pasa la liga por la planta de tus pies y sujeta los extremos con las palmas hacia arriba. Tira hacia tu ombligo apretando bíceps y espalda.,Enfoca la contracción en los bíceps y la espalda baja. Mantén la espalda erguida durante todo el movimiento.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/I4XmTG9gbpImKZcCOHJs.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
EJ045,salto-al-cajón-(en-silla-firme),Salto al Cajón (en silla firme),Salto al Cajón (en silla firme),Salto al Cajón (en silla firme),pendiente,,,,,,,"Cuádriceps, Glúteos, Pantorrillas",Silla firme y estable,,,De pie frente a una silla estable. Flexiona rodillas y salta aterrizando con ambos pies sobre la silla. Baja con cuidado paso a paso.,Asegúrate de que la silla sea muy estable. Aterriza suave con las rodillas flexionadas. Baja caminando no saltando.,,,,,,,,,,,,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/WB4HPPUMgck2NLrV4CXI.jpeg,,,,,Supabase: ejercicios_biblioteca,,,
